frame,Tronco LI,Tronco LI_FILT,Tronco LI_VEL,Tronco LI_ACC,Tronco LI_ERROR,Tronco LI_FLAG,Cadera LI,Cadera LI_FILT,Cadera LI_VEL,Cadera LI_ACC,Cadera LI_ERROR,Cadera LI_FLAG,Rodilla LI,Rodilla LI_FILT,Rodilla LI_VEL,Rodilla LI_ACC,Rodilla LI_ERROR,Rodilla LI_FLAG,Tobillo LI,Tobillo LI_FILT,Tobillo LI_VEL,Tobillo LI_ACC,Tobillo LI_ERROR,Tobillo LI_FLAG,Acromion I_x,Acromion I_x_FILT,Acromion I_x_VEL,Acromion I_x_ACC,Acromion I_x_ERROR,Acromion I_x_FLAG,Acromion I_y,Acromion I_y_FILT,Acromion I_y_VEL,Acromion I_y_ACC,Acromion I_y_ERROR,Acromion I_y_FLAG,Cadera I_x,Cadera I_x_FILT,Cadera I_x_VEL,Cadera I_x_ACC,Cadera I_x_ERROR,Cadera I_x_FLAG,Cadera I_y,Cadera I_y_FILT,Cadera I_y_VEL,Cadera I_y_ACC,Cadera I_y_ERROR,Cadera I_y_FLAG,Rodilla I_x,Rodilla I_x_FILT,Rodilla I_x_VEL,Rodilla I_x_ACC,Rodilla I_x_ERROR,Rodilla I_x_FLAG,Rodilla I_y,Rodilla I_y_FILT,Rodilla I_y_VEL,Rodilla I_y_ACC,Rodilla I_y_ERROR,Rodilla I_y_FLAG,Tobillo I_x,Tobillo I_x_FILT,Tobillo I_x_VEL,Tobillo I_x_ACC,Tobillo I_x_ERROR,Tobillo I_x_FLAG,Tobillo I_y,Tobillo I_y_FILT,Tobillo I_y_VEL,Tobillo I_y_ACC,Tobillo I_y_ERROR,Tobillo I_y_FLAG,Metatarso I_x,Metatarso I_x_FILT,Metatarso I_x_VEL,Metatarso I_x_ACC,Metatarso I_x_ERROR,Metatarso I_x_FLAG,Metatarso I_y,Metatarso I_y_FILT,Metatarso I_y_VEL,Metatarso I_y_ACC,Metatarso I_y_ERROR,Metatarso I_y_FLAG
229.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.9628192826590978e-83,-3.435262943650274e-51,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,987.6032014674104,987.246996345868,21.271872757747595,-252.6072274719827,0.3562051215424162,True,799.7223050722774,799.7662418444658,-13.122165070230018,26.8627733195684,0.0439367721883172,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
230.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-3.399702723641455e-83,-4.728233807713798e-51,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,987.8259861779648,987.45024951065,18.348483229070595,-283.4880532624937,0.3757366673147544,True,799.5954474786919,799.6470281366624,-12.806019684954236,34.32524748793032,0.0515806579704758,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
231.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-5.888457847977295e-83,-6.50785552870303e-51,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,987.9994463015144,987.6160993626544,15.134650396814289,-308.9838577407596,0.3833469388599724,True,799.4763226049937,799.5329243681501,-12.403510975500486,41.33646538189603,0.0566017631564363,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
232.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.0199108170924366e-82,-8.957294690748211e-51,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.1259964093814,987.7437004892746,11.717276236943086,-328.6761016709889,0.3822959201067988,True,799.3647350559612,799.4244523611475,-11.92913969656834,47.70277607813567,0.0597173051862682,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
233.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.7665373543931886e-82,-1.2328658468679997e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.2080510728872,987.8330989364304,8.177238269434094,-342.4244565166496,0.3749521364568409,True,799.2604894363716,799.3219378088359,-11.397236604462313,53.29641495513461,0.0614483724642695,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
234.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-3.0597324512773103e-82,-1.6968942619955962e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.248024863354,987.8849884293984,4.586977410928782,-350.31854011082703,0.3630364339555854,True,799.1633903510029,799.2255639080965,-10.821161913146629,58.04831029512779,0.0621735570936152,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
235.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-5.299612063179566e-82,-2.3355745831620706e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.2483323521028,987.9005332556816,1.0095196237044697,-352.624154062882,0.3477990964212267,True,799.0732424046328,799.135410325894,-10.212874730986451,61.93798882836613,0.0621679212612207,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
236.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-9.179197353831931e-82,-3.214642630176304e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.2113881104564,987.8812395802364,-2.5015309247461768,-349.7308004668918,0.330148530219958,True,798.9898502020391,799.0514815098995,-9.582764074808589,64.98254400734962,0.0616313078604662,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
237.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.58988361895387e-81,-4.424575996950585e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.139606709736,987.8288619482488,-5.901403830463379,-342.1048461286958,0.3107447614871717,True,798.9130183479996,798.9737272572112,-8.939650284751432,67.22603000000208,0.0607089092115984,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
238.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-2.75375920614958e-81,-6.089906407953513e-50,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,988.0354027212632,987.7453353523088,-9.153257522016768,-330.25060659669725,0.2900673689543964,True,798.8425514472922,798.9020576581931,-8.290887661791356,68.73009662057976,0.0595062109009632,True,,,,,,True,,,,,,True,973.0,972.9926387638424,15.403714693737848,-131.88972571806403,0.0073612361576351,False,970.0,969.9998591313316,-0.0344514450351271,-3.364439669016832,0.0001408686683816,False
