LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
 - 	237	33.404308	4.067057	6.330258
 - 	238	32.738445	3.974887	6.523581
 - 	239	32.036659	4.027204	6.131661
 - 	240	31.320147	4.247613	5.464533
 - 	241	30.627510	4.605052	4.819758
 - 	242	29.977230	5.007356	4.309346
 - 	243	29.328720	5.318471	3.821823
 - 	244	28.568571	5.402955	3.150584
 - 	245	27.540625	5.177462	2.192286
 - 	246	26.110596	4.636029	1.060445
 - 	247	24.223631	3.834546	0.029645
 - 	248	21.914774	2.853350	-0.633548
 - 	249	19.273874	1.768784	-0.814401
 - 	250	16.401892	0.645001	-0.573506
 - 	251	13.389227	-0.465372	-0.068056
 - 	252	10.317308	-1.523425	0.538045
 - 	253	7.267742	-2.507292	1.108772
 - 	254	4.326269	-3.409671	1.528494
 - 	255	1.579277	-4.228838	1.704561
 - 	256	-0.892313	-4.958631	1.595975
 - 	257	-3.016846	-5.582675	1.237323
 - 	258	-4.732786	-6.074893	0.727466
 - 	259	-5.989664	-6.405752	0.187503
 - 	260	-6.753687	-6.551891	-0.279627
 - 	261	-7.019903	-6.505172	-0.602524
 - 	262	-6.824818	-6.277232	-0.736319
 - 	263	-6.249153	-5.899204	-0.664430
 - 	264	-5.407242	-5.421043	-0.408701
 - 	265	-4.428337	-4.914845	-0.026244
 - 	266	-3.433386	-4.479387	0.409990
 - 	267	-2.506437	-4.235642	0.821492
 - 	268	-1.666092	-4.305687	1.120178
 - 	269	-0.850698	-4.779053	1.225449
 - 	270	0.075285	-5.679172	1.116043
 - 	271	1.296171	-6.942437	0.866160
 - 	272	3.000162	-8.419964	0.617288
 - 	273	5.314758	-9.907215	0.509384
 - 	274	8.247145	-11.193242	0.628606
 - 	275	11.670288	-12.108408	0.992433
 - 	276	15.368210	-12.552708	1.556837
 - 	277	19.109735	-12.502248	2.229043
 - 	278	22.706440	-12.000818	2.882337
 - 	279	26.031982	-11.140596	3.377879
 - 	280	29.010529	-10.033216	3.595239
 - 	281	31.598164	-8.778236	3.460930
 - 	282	33.773949	-7.441877	2.960821
 - 	283	35.538826	-6.054406	2.135026
 - 	284	36.912331	-4.623652	1.065374
 - 	285	37.923950	-3.154927	-0.135672
 - 	286	38.604931	-1.667441	-1.331842
 - 	287	38.986275	-0.201040	-2.367642
 - 	288	39.102062	1.188114	-3.078452
 - 	289	38.992863	2.439593	-3.314794
 - 	290	38.705544	3.502012	-2.976526
 - 	291	38.289444	4.341484	-2.039108
 - 	292	37.790989	4.943555	-0.562430
 - 	293	37.247944	5.311621	1.307329
 - 	294	36.683231	5.465495	3.336061
 - 	295	36.098988	5.441330	5.221906
 - 	296	35.475677	5.291746	6.665652
 - 	297	34.782715	5.083336	7.476024
 - 	298	33.999527	4.887438	7.642267
 - 	299	33.132889	4.761595	7.313314
 - 	300	32.213879	4.725573	6.691972
 - 	301	31.271158	4.744430	5.918452
 - 	302	30.293890	4.734024	5.026145
 - 	303	29.208288	4.593572	4.000713
 - 	304	27.891970	4.248856	2.891147
 - 	305	26.228209	3.677705	1.867345
 - 	306	24.166111	2.903695	1.157631
 - 	307	21.741997	1.972046	0.914577
 - 	308	19.049969	0.931491	1.129822
 - 	309	16.191402	-0.170818	1.664553
 - 	310	13.243361	-1.290926	2.345369
 - 	311	10.261316	-2.392702	3.029515
 - 	312	7.300577	-3.451164	3.606645
 - 	313	4.431417	-4.449193	3.979080
 - 	314	1.737938	-5.369477	4.062328
 - 	315	-0.692623	-6.188079	3.804563
 - 	316	-2.780273	-6.874080	3.204981
 - 	317	-4.458460	-7.394804	2.320731
 - 	318	-5.678488	-7.723011	1.263749
 - 	319	-6.416628	-7.842858	0.189968
 - 	320	-6.684042	-7.753339	-0.722994
 - 	321	-6.533226	-7.469530	-1.313000
 - 	322	-6.054173	-7.023168	-1.477880
 - 	323	-5.359253	-6.464846	-1.210575
 - 	324	-4.562813	-5.868697	-0.606127
 - 	325	-3.762785	-5.336099	0.167392
 - 	326	-3.024889	-4.991087	0.916452
 - 	327	-2.365267	-4.961809	1.462856
 - 	328	-1.733973	-5.349817	1.677493
 - 	329	-1.009882	-6.196064	1.520162
 - 	330	-0.015940	-7.454791	1.071920
 - 	331	1.442205	-8.986429	0.522922
 - 	332	3.517248	-10.579344	0.104926
 - 	333	6.258873	-11.999685	0.005772
 - 	334	9.583101	-13.049257	0.313047
 - 	335	13.294762	-13.604267	1.002861
 - 	336	17.150280	-13.624772	1.960407
 - 	337	20.923107	-13.144617	3.014097
 - 	338	24.440784	-12.252237	3.975078
 - 	339	27.588575	-11.063864	4.680177
