LINK_MODEL_BASED::PROCESSED::Left Ankle Angles_filtered
File	Frame	X 	Y 	Z 
 - 	408	5.893122	7.492651	0.410168
 - 	409	6.432034	8.220488	0.721900
 - 	410	6.726872	9.422535	1.296135
 - 	411	6.766414	10.945347	1.976534
 - 	412	6.712113	12.413347	2.407496
 - 	413	6.825090	13.623502	2.306686
 - 	414	7.194463	14.727611	1.741870
 - 	415	7.454151	15.861138	1.153989
 - 	416	6.894334	16.580772	1.154192
 - 	417	5.146033	15.886100	2.176936
 - 	418	2.849252	13.049519	4.090696
 - 	419	1.391260	8.472028	6.103113
 - 	420	1.801083	3.583393	7.259755
 - 	421	4.003126	-0.187587	7.206958
 - 	422	7.129039	-2.331717	6.439692
 - 	423	10.282968	-3.267601	5.777702
 - 	424	12.959873	-3.686640	5.687525
 - 	425	15.031454	-3.991055	6.106211
 - 	426	16.570799	-4.221400	6.701075
 - 	427	17.675957	-4.299649	7.126524
 - 	428	18.362215	-4.207000	7.137630
 - 	429	18.560310	-3.943302	6.676913
 - 	430	18.175837	-3.430799	5.931725
 - 	431	17.131199	-2.557693	5.251534
 - 	432	15.376272	-1.332802	4.936538
 - 	433	12.899152	0.049601	5.049865
 - 	434	9.741367	1.338215	5.388069
 - 	435	6.002057	2.382682	5.630714
 - 	436	1.833264	3.117549	5.577205
 - 	437	-2.565457	3.463021	5.314240
 - 	438	-6.961678	3.358902	5.191227
 - 	439	-11.126154	2.905190	5.595058
 - 	440	-14.876375	2.431451	6.651155
 - 	441	-18.087086	2.379739	8.095719
 - 	442	-20.645016	2.982267	9.477750
 - 	443	-22.397068	3.987490	10.498904
 - 	444	-23.191690	4.838459	11.148241
 - 	445	-23.023932	5.190328	11.579079
 - 	446	-22.130928	5.163639	11.921389
 - 	447	-20.896307	5.128242	12.166656
 - 	448	-19.630098	5.375446	12.178844
 - 	449	-18.418104	5.947521	11.836239
 - 	450	-17.147678	6.625547	11.184211
 - 	451	-15.654339	7.067043	10.416080
 - 	452	-13.855461	7.047107	9.659980
 - 	453	-11.789667	6.609130	8.808476
 - 	454	-9.584764	5.981928	7.640689
 - 	455	-7.410070	5.376252	6.131207
 - 	456	-5.429851	4.889794	4.557129
 - 	457	-3.754876	4.587070	3.260883
 - 	458	-2.404333	4.582124	2.380655
 - 	459	-1.304928	4.922970	1.854093
 - 	460	-0.348959	5.394967	1.583972
 - 	461	0.525652	5.634052	1.486312
 - 	462	1.324529	5.541808	1.418825
 - 	463	2.061797	5.412007	1.196609
 - 	464	2.792642	5.543143	0.726212
 - 	465	3.571690	5.902800	0.083333
 - 	466	4.409925	6.256942	-0.553712
 - 	467	5.265025	6.480719	-1.020597
 - 	468	6.040554	6.690946	-1.209023
 - 	469	6.605330	7.181078	-1.023532
 - 	470	6.857727	8.233160	-0.385588
 - 	471	6.813225	9.873423	0.623161
 - 	472	6.662849	11.780822	1.645454
 - 	473	6.718215	13.529007	2.195503
 - 	474	7.155429	14.928981	2.008924
 - 	475	7.669444	15.991584	1.318690
