LINK_MODEL_BASED::ORIGINAL::Left Ankle Angles
File	Frame	X 	Y 	Z 
 - 	192	15.060704	23.928570	-4.403216
 - 	193	14.377463	24.088917	-3.856875
 - 	194	13.682641	24.237827	-3.318401
 - 	195	12.976186	24.373508	-2.793189
 - 	196	12.253627	24.497766	-2.280015
 - 	197	11.507950	24.613209	-1.773786
 - 	198	10.732220	24.721853	-1.270630
 - 	199	9.922084	24.825464	-0.770399
 - 	200	9.077346	24.925478	-0.276964
 - 	201	8.202193	25.022467	0.204170
 - 	202	7.304991	25.116318	0.667147
 - 	203	6.397395	25.206215	1.106776
 - 	204	5.493115	25.290878	1.518463
 - 	205	4.606510	25.367872	1.898037
 - 	206	3.750885	25.433716	2.241607
 - 	207	2.937648	25.483534	2.544611
 - 	208	2.176057	25.511089	2.801622
 - 	209	1.473947	25.508774	3.006077
 - 	210	0.837781	25.469601	3.151489
 - 	211	0.272301	25.390020	3.232738
 - 	212	-0.220975	25.272997	3.249769
 - 	213	-0.645361	25.129919	3.211693
 - 	214	-1.008498	24.979919	3.137272
 - 	215	-1.317990	24.845104	3.048333
 - 	216	-1.576171	24.743555	2.960098
 - 	217	-1.778681	24.685844	2.876867
 - 	218	-1.916675	24.674713	2.792541
 - 	219	-1.980877	24.705326	2.694180
 - 	220	-1.964938	24.764437	2.565522
 - 	221	-1.868951	24.833397	2.392219
 - 	222	-1.701054	24.894135	2.166422
 - 	223	-1.476755	24.934509	1.890483
 - 	224	-1.216881	24.951019	1.578111
 - 	225	-0.944428	24.947948	1.252696
 - 	226	-0.681820	24.933950	0.941873
 - 	227	-0.448268	24.917776	0.671059
 - 	228	-0.258063	24.905399	0.459095
 - 	229	-0.119950	24.899096	0.315627
 - 	230	-0.037355	24.897575	0.241081
 - 	231	-0.008837	24.897739	0.227785
 - 	232	-0.028832	24.896976	0.263755
 - 	233	-0.088765	24.895433	0.336019
 - 	234	-0.178513	24.894629	0.433301
 - 	235	-0.287374	24.895899	0.546532
 - 	236	-0.404552	24.899796	0.667918
 - 	237	-0.519470	24.906017	0.790177
 - 	238	-0.622195	24.913633	0.905577
 - 	239	-0.704598	24.920948	1.006692
 - 	240	-0.761217	24.926472	1.086880
 - 	241	-0.790159	24.929457	1.141336
 - 	242	-0.793502	24.930147	1.168726
 - 	243	-0.776591	24.929266	1.171443
 - 	244	-0.747258	24.927822	1.155682
 - 	245	-0.714181	24.926529	1.129542
 - 	246	-0.685895	24.925858	1.101808
 - 	247	-0.669429	24.926186	1.080001
 - 	248	-0.669132	24.927900	1.068876
 - 	249	-0.686282	24.931139	1.070441
