LINK_MODEL_BASED::ORIGINAL::Left Knee Angles
File	Frame	X 	Y 	Z 
 - 	179	78.339188	2.921888	3.797271
 - 	180	77.190231	3.059880	3.809419
 - 	181	75.988991	3.240664	3.752244
 - 	182	74.732735	3.427434	3.627702
 - 	183	73.419540	3.565350	3.453292
 - 	184	72.049049	3.602462	3.248820
 - 	185	70.622925	3.507559	3.029806
 - 	186	69.146141	3.280340	2.810349
 - 	187	67.627319	2.959399	2.604555
 - 	188	66.074127	2.598773	2.425113
 - 	189	64.489372	2.236045	2.277543
 - 	190	62.871197	1.875515	2.159526
 - 	191	61.216595	1.502611	2.067412
 - 	192	59.524826	1.114897	2.000544
 - 	193	57.795593	0.724700	1.962003
 - 	194	56.027569	0.353799	1.946226
 - 	195	54.218334	0.026815	1.927740
 - 	196	52.366257	-0.235177	1.866698
 - 	197	50.471107	-0.422244	1.726241
 - 	198	48.533169	-0.537884	1.485642
 - 	199	46.553013	-0.595079	1.139797
 - 	200	44.532166	-0.611668	0.693982
 - 	201	42.474457	-0.607195	0.158585
 - 	202	40.387085	-0.600251	-0.453832
 - 	203	38.281136	-0.604263	-1.130055
 - 	204	36.171379	-0.621958	-1.855579
 - 	205	34.075756	-0.639139	-2.613474
 - 	206	32.013870	-0.623301	-3.386502
 - 	207	30.003426	-0.536921	-4.161131
 - 	208	28.056229	-0.361114	-4.927064
 - 	209	26.177221	-0.107913	-5.668960
 - 	210	24.367897	0.191509	-6.363959
 - 	211	22.630455	0.509211	-6.987819
 - 	212	20.969774	0.830450	-7.524589
 - 	213	19.393274	1.149410	-7.972109
 - 	214	17.910461	1.462023	-8.341977
 - 	215	16.533901	1.763461	-8.652236
 - 	216	15.280435	2.049089	-8.916840
 - 	217	14.171445	2.314671	-9.140698
 - 	218	13.231212	2.555323	-9.320614
 - 	219	12.483474	2.764421	-9.447477
 - 	220	11.947605	2.936768	-9.512671
 - 	221	11.631414	3.069203	-9.506698
 - 	222	11.527277	3.161904	-9.432096
 - 	223	11.610936	3.217492	-9.308183
 - 	224	11.844127	3.239882	-9.166683
 - 	225	12.179035	3.233493	-9.034884
 - 	226	12.564594	3.204348	-8.932147
 - 	227	12.950726	3.159009	-8.864167
 - 	228	13.292837	3.103876	-8.828906
 - 	229	13.554747	3.044265	-8.818818
 - 	230	13.711499	2.984474	-8.822692
 - 	231	13.751845	2.927451	-8.828450
 - 	232	13.679701	2.874659	-8.827900
 - 	233	13.512981	2.826780	-8.819021
 - 	234	13.279688	2.785222	-8.803481
 - 	235	13.012580	2.751713	-8.783440
 - 	236	12.743642	2.726697	-8.760209
 - 	237	12.500825	2.710135	-8.740770
 - 	238	12.304346	2.700365	-8.729839
 - 	239	12.166029	2.695875	-8.729657
 - 	240	12.089295	2.695743	-8.738980
 - 	241	12.070134	2.699742	-8.755898
 - 	242	12.098856	2.707876	-8.779148
 - 	243	12.161967	2.719381	-8.806613
 - 	244	12.243872	2.732912	-8.835295
 - 	245	12.328780	2.747184	-8.862587
 - 	246	12.402166	2.761242	-8.889807
 - 	247	12.452281	2.774507	-8.923188
